Trip_ID,Trip_StartTime,Origin_longitude,Origin_latitude,Dest_longitude,Dest_latitude,Customer_ID,Driver_ID,driver_rated_for_trip,customer_rated_for_trip,Trip_cancellation,Cancelled_by,Reason,year,month,Region,CALENDAR_DATE,hours_range
16085840,2014-10-16 17:57:56,-73.972003,40.750153,-73.987547,40.728652,C34789,D50362,3,3,1,Customer,Change of plan,2014,10,Industrial_Zones,16/10/2014,03:00PM-06:00PM
45869165,2014-10-17 08:58:00,-74.00079,40.76187,-74.01437,40.71384,C39374,D78629,5,2,1,Driver,Issue with vehicle,2014,10,Sports_Arenas,17/10/2014,06:00AM-09:00AM
2190337,2014-10-17 09:00:00,-73.984707,40.768395,-73.99114,40.750367,C38391,D30700,4,4,1,Customer,High trip charges,2014,10,Sports_Arenas,17/10/2014,09:00AM-12:00PM
2744234,2014-10-17 10:59:00,-73.87106,40.773827,-73.98127,40.760522,C25806,D27764,2,5,1,Driver,Customer not found on location,2014,10,Industrial_Zones,17/10/2014,09:00AM-12:00PM
52301632,2014-10-17 11:18:00,-73.87116,40.773872,-73.952697,40.772832,C39914,D64210,4,2,1,Customer,Inappropriate behavior of driver,2014,10,Industrial_Zones,17/10/2014,09:00AM-12:00PM
36127197,2014-10-17 19:29:00,-73.99485,40.734517,-73.985105,40.715412,C49317,D65865,4,4,1,Driver,Customer not found on location,2014,10,Industrial_Zones,17/10/2014,06:00PM-09:00PM
16590976,2014-10-17 20:37:00,-73.97322,40.79006,-73.96208,40.80024,C24739,D11542,3,5,1,Driver,Issue with vehicle,2014,10,Industrial_Zones,17/10/2014,06:00PM-09:00PM
52688082,2014-10-17 23:42:00,-73.993377,40.74715,-74.003797,40.722402,C37492,D79708,5,2,1,Customer,Change of plan,2014,10,Sports_Arenas,17/10/2014,12:00AM-3:00AM
25216941,2014-10-18 00:01:00,-73.987442,40.733317,-73.947342,40.779657,C22251,D14244,2,4,1,Driver,Issue with vehicle,2014,10,0.0,18/10/2014,12:00AM-03:00AM
13878229,2014-10-18 04:19:39,-73.984891,40.758306,-73.976484,40.733521,C42861,D36668,4,3,1,Customer,High trip charges,2014,10,Airport,18/10/2014,03:00AM-06:00AM
6453709,2014-10-18 09:03:00,-73.990607,40.756037,-73.984605,40.750035,C17629,D57089,4,4,1,Driver,Issue with vehicle,2014,10,Airport,18/10/2014,09:00AM-12:00PM
37161067,2014-10-18 10:41:00,-73.979585,40.781597,-73.9806,40.77078,C51074,D11542,4,5,1,Customer,High trip charges,2014,10,Industrial_Zones,18/10/2014,09:00AM-12:00PM
46887522,2014-10-18 23:51:15,-73.994318,40.755799,-73.951946,40.71518,C44617,D50362,3,1,1,Customer,High trip charges,2014,10,Pubs,18/10/2014,12:00AM-3:00AM
43023721,2014-10-19 01:30:54,-73.989258,40.774261,-74.016302,40.708067,C21754,D43171,4,4,1,Customer,Delay in arrival,2014,10,Pubs,19/10/2014,12:00AM-03:00AM
49223390,2014-10-19 02:39:00,-73.987613,40.718295,-73.907955,40.70024,C15278,D63647,3,4,1,Driver,Issue with vehicle,2014,10,Pubs,19/10/2014,12:00AM-03:00AM
42086257,2014-10-19 03:22:52,-73.988699,40.726943,-73.947142,40.780174,C15980,D79708,4,4,1,Driver,Issue with vehicle,2014,10,Airport,19/10/2014,12:00AM-03:00AM
50994173,2014-10-19 12:09:44,-73.993508,40.726465,-73.980918,40.685303,C36214,D63647,3,5,1,Customer,High trip charges,2014,10,Industrial_Zones,19/10/2014,12:00PM-03:00PM
17099361,2014-10-19 12:54:05,-73.977727,40.764013,-73.994272,40.756004,C39914,D61908,5,3,1,Customer,Delay in arrival,2014,10,Tourist_Spots,19/10/2014,12:00PM-03:00PM
10117124,2014-10-19 13:47:00,-73.958148,40.778855,-73.937382,40.792097,C22518,D48465,5,4,1,Customer,High trip charges,2014,10,Tourist_Spots,19/10/2014,12:00PM-03:00PM
32865075,2014-10-19 15:23:13,-73.989989,40.719009,-73.978948,40.736487,C51562,D76086,1,5,1,Driver,Customer not found on location,2014,10,Industrial_Zones,19/10/2014,03:00PM-06:00PM
8271981,2014-10-19 18:04:14,-73.863202,40.769839,-73.983904,40.766857,C49580,D30700,1,5,1,Customer,Delay in arrival,2014,10,Airport,19/10/2014,06:00PM-09:00PM
50643991,2014-10-19 18:59:00,-73.978717,40.75904,-73.990063,40.7311,C51247,D79708,3,5,1,Driver,Issue with vehicle,2014,10,Pubs,19/10/2014,06:00PM-09:00PM
6362688,2014-10-19 22:46:00,-73.99967,40.730265,-73.980572,40.765667,C40152,D14244,3,5,1,Customer,High trip charges,2014,10,Pubs,19/10/2014,12:00AM-3:00AM
9305194,2014-10-19 23:38:42,-73.78286,40.648828,-73.783288,40.648822,C33762,D13828,5,4,1,Customer,Delay in arrival,2014,10,Sports_Arenas,19/10/2014,12:00AM-3:00AM
48523712,2014-10-19 23:40:36,-73.981161,40.738002,-73.981447,40.763023,C51027,D12502,4,5,1,Driver,Inappropriate behavior of customer,2014,10,Pubs,19/10/2014,12:00AM-3:00AM
28880529,2014-10-20 09:06:00,-73.982822,40.741198,-73.986283,40.748325,C19983,D14244,5,4,1,Driver,Customer not found on location,2014,10,SubwayStations,20/10/2014,09:00AM-12:00PM
44868120,2014-10-20 12:46:00,-73.979882,40.760962,-73.993082,40.722887,C40291,D99787,5,5,1,Customer,Delay in arrival,2014,10,Tourist_Spots,20/10/2014,12:00PM-03:00PM
13084571,2014-10-20 14:06:00,-73.788055,40.641682,-73.993953,40.751675,C23772,D14326,4,4,1,Driver,Customer not found on location,2014,10,Industrial_Zones,20/10/2014,12:00PM-03:00PM
23413441,2014-10-20 17:57:00,-73.95424,40.770252,-73.971277,40.757107,C34152,D57089,4,3,1,Customer,High trip charges,2014,10,Tourist_Spots,20/10/2014,03:00PM-06:00PM
17027828,2014-10-20 18:31:00,-73.99574,40.72749,-73.97807,40.75091,C51793,D50362,4,3,1,Driver,Issue with vehicle,2014,10,Tourist_Spots,20/10/2014,06:00PM-09:00PM
28034701,2014-10-20 18:49:34,-73.965446,40.771403,-73.954637,40.778204,C21471,D38776,5,5,1,Driver,Delay due to traffic,2014,10,Pubs,20/10/2014,06:00PM-09:00PM
6573797,2014-10-20 18:51:17,-74.008608,40.704233,-73.988506,40.723199,C38391,D56919,4,4,1,Customer,High trip charges,2014,10,Tourist_Spots,20/10/2014,06:00PM-09:00PM
51387327,2014-10-20 23:20:00,-73.77669,40.645302,-73.957592,40.724207,C39184,D49646,5,3,1,Driver,Issue with vehicle,2014,10,SubwayStations,20/10/2014,12:00AM-3:00AM
36903625,2014-10-21 02:22:34,-73.976978,40.755826,-74.00672,40.705567,C43455,D26336,4,4,1,Customer,Delay in arrival,2014,10,Pubs,21/10/2014,12:00AM-03:00AM
51880808,2014-10-21 07:00:06,-73.993925,40.751693,-73.983907,40.755108,C38438,D50362,4,2,1,Customer,Change of plan,2014,10,SubwayStations,21/10/2014,06:00AM-09:00AM
34126293,2014-10-21 09:53:17,-73.981091,40.752246,-73.993443,40.726186,C40149,D66365,4,5,1,Customer,Delay in arrival,2014,10,Industrial_Zones,21/10/2014,09:00AM-12:00PM
21564076,2014-10-21 11:47:49,-73.983892,40.738266,-74.002291,40.733483,C20073,D30700,3,3,1,Customer,High trip charges,2014,10,Tourist_Spots,21/10/2014,09:00AM-12:00PM
6966099,2014-10-21 13:58:00,-73.984335,40.757655,-73.99929,40.72227,C50372,D11542,4,3,1,Driver,Inappropriate behavior of customer,2014,10,Sports_Arenas,21/10/2014,12:00PM-03:00PM
25125271,2014-10-21 17:15:00,-73.968215,40.76469,-73.974708,40.754252,C51374,D53927,4,3,1,Driver,Delay due to traffic,2014,10,Airport,21/10/2014,03:00PM-06:00PM
44348575,2014-10-21 20:03:00,-73.961595,40.768482,-73.96002,40.781455,C24803,D36668,2,5,1,Driver,Customer not found on location,2014,10,Sports_Arenas,21/10/2014,06:00PM-09:00PM
7212177,2014-10-21 21:58:44,-74.003276,40.749754,-73.993378,40.752473,C14609,D61908,1,5,1,Driver,Customer not found on location,2014,10,Pubs,21/10/2014,06:00PM-09:00PM
6514816,2014-10-21 22:31:23,-74.000182,40.737999,-73.960295,40.639823,C24803,D89828,4,4,1,Driver,Customer not found on location,2014,10,Pubs,21/10/2014,12:00AM-3:00AM
20528218,2014-10-22 00:59:59,-73.982834,40.761891,-73.991642,40.750062,C44617,D14326,2,4,1,Customer,Change of plan,2014,10,0.0,22/10/2014,12:00AM-03:00AM
36618891,2014-10-22 09:29:59,-73.95115,40.782583,-73.992359,40.715121,C51793,D14326,5,5,1,Driver,Issue with vehicle,2014,10,Pubs,22/10/2014,09:00AM-12:00PM
44077676,2014-10-22 11:02:46,-73.979083,40.744669,-73.985485,40.759442,C41429,D13828,4,2,1,Driver,Delay due to traffic,2014,10,Sports_Arenas,22/10/2014,09:00AM-12:00PM
42788542,2014-10-22 11:04:41,-73.944011,40.776011,-73.964101,40.755622,C39374,D14637,2,4,1,Driver,Customer not found on location,2014,10,Tourist_Spots,22/10/2014,09:00AM-12:00PM
31508573,2014-10-22 14:54:00,-73.871227,40.773867,-74.005252,40.720842,C34152,D14326,2,4,1,Customer,Delay in arrival,2014,10,Industrial_Zones,22/10/2014,12:00PM-03:00PM
41658656,2014-10-22 21:11:49,-73.971171,40.75137,-73.987918,40.74102,C40467,D49646,2,5,1,Customer,Change of plan,2014,10,Tourist_Spots,22/10/2014,06:00PM-09:00PM
44710646,2014-10-22 22:49:00,-73.989762,40.734375,-73.971452,40.785322,C22483,D14326,4,5,1,Customer,High trip charges,2014,10,Pubs,22/10/2014,12:00AM-3:00AM
6084682,2014-10-23 06:48:32,-73.984163,40.76969,-73.985916,40.759081,C51074,D89828,4,5,1,Driver,Issue with vehicle,2014,10,Pubs,23/10/2014,03:00AM-06:00AM
14534065,2014-10-23 09:40:56,-73.963223,40.762097,-73.982942,40.747004,C22584,D83241,2,3,1,Customer,Change of plan,2014,10,Airport,23/10/2014,09:00AM-12:00PM
43344216,2014-10-23 16:30:00,-73.978352,40.763097,-73.982562,40.76749,C40149,D43171,4,2,1,Driver,Issue with vehicle,2014,10,SubwayStations,23/10/2014,03:00PM-06:00PM
17237214,2014-10-23 21:06:00,-73.990562,40.750875,-73.989163,40.774307,C14609,D11542,5,2,1,Customer,High trip charges,2014,10,Sports_Arenas,23/10/2014,06:00PM-09:00PM
1496596,2014-10-23 21:51:08,-73.976649,40.764969,-73.964814,40.764227,C18924,D76086,3,4,1,Customer,Inappropriate behavior of driver,2014,10,Tourist_Spots,23/10/2014,06:00PM-09:00PM
45116210,2014-10-23 22:40:00,-73.98924,40.748272,-73.917372,40.759622,C11029,D30700,4,5,1,Customer,High trip charges,2014,10,Pubs,23/10/2014,12:00AM-3:00AM
45570384,2014-10-24 04:04:00,-73.903269,40.745537,-73.897856,40.743167,C22418,D99787,4,3,1,Customer,Change of plan,2014,10,Pubs,24/10/2014,03:00AM-06:00AM
17309354,2014-10-24 10:23:27,-73.874465,40.774058,-73.979046,40.761932,C40182,D13828,1,5,1,Customer,Delay in arrival,2014,10,Sports_Arenas,24/10/2014,09:00AM-12:00PM
54119506,2014-10-24 10:34:22,-74.016851,40.707692,-73.97571,40.751537,C29604,D50362,1,4,1,Customer,Change of plan,2014,10,Pubs,24/10/2014,09:00AM-12:00PM
35675022,2014-10-24 15:21:42,-73.990704,40.731388,-73.980003,40.743485,C40075,D49646,3,3,1,Driver,Issue with vehicle,2014,10,Tourist_Spots,24/10/2014,03:00PM-06:00PM
29502994,2014-10-24 17:52:34,-73.988618,40.758641,-73.972764,40.780437,C11938,D12789,5,1,1,Driver,Customer not found on location,2014,10,Industrial_Zones,24/10/2014,03:00PM-06:00PM
49797220,2014-10-24 19:54:00,-73.98544,40.763142,-73.988922,40.77759,C49782,D54605,4,5,1,Customer,High trip charges,2014,10,Pubs,24/10/2014,06:00PM-09:00PM
35631423,2014-10-24 22:55:07,-73.985706,40.747324,-73.991234,40.725289,C51793,D48465,3,4,1,Driver,Customer not found on location,2014,10,Pubs,24/10/2014,12:00AM-3:00AM
5792741,2014-10-25 04:30:25,-73.986385,40.75511,-73.955344,40.718152,C20841,D69622,4,1,1,Driver,Issue with vehicle,2014,10,SubwayStations,25/10/2014,03:00AM-06:00AM
38504813,2014-10-25 05:29:00,-73.988837,40.748767,-73.992037,40.74917,C21471,D61908,4,4,1,Driver,Issue with vehicle,2014,10,SubwayStations,25/10/2014,03:00AM-06:00AM
31624560,2014-10-25 09:57:00,-73.953185,40.782755,-73.96053,40.772737,C26748,D10560,5,5,1,Customer,High trip charges,2014,10,Industrial_Zones,25/10/2014,09:00AM-12:00PM
13805296,2014-10-25 14:12:00,-73.975002,40.750287,-73.978562,40.764192,C31645,D26625,3,5,1,Customer,Delay in arrival,2014,10,Tourist_Spots,25/10/2014,12:00PM-03:00PM
47899611,2014-10-25 15:08:00,-73.956342,40.781627,-73.957155,40.768447,C22518,D48465,4,5,1,Customer,Change of plan,2014,10,Pubs,25/10/2014,03:00PM-06:00PM
45574281,2014-10-25 15:34:44,-73.999087,40.73963,-73.994648,40.760762,C39914,D14637,4,3,1,Driver,Issue with vehicle,2014,10,Airport,25/10/2014,03:00PM-06:00PM
16820582,2014-10-25 15:45:40,-74.001507,40.747347,-73.999774,40.738279,C15722,D79708,5,4,1,Driver,Issue with vehicle,2014,10,Sports_Arenas,25/10/2014,03:00PM-06:00PM
15428001,2014-10-25 17:55:42,-73.994055,40.736174,-73.978361,40.751077,C26841,D48465,5,3,1,Customer,Inappropriate behavior of driver,2014,10,Industrial_Zones,25/10/2014,03:00PM-06:00PM
33160542,2014-10-25 19:02:11,0.0,0.0,0.0,0.0,C37591,D66365,4,2,1,Driver,Issue with vehicle,2014,10,Airport,25/10/2014,06:00PM-09:00PM
38465086,2014-10-25 22:13:00,-73.98217,40.750415,-74.01725,40.705197,C35892,D22724,4,3,1,Customer,High trip charges,2014,10,Sports_Arenas,25/10/2014,12:00AM-3:00AM
33635454,2014-10-26 00:13:00,-74.005197,40.719652,-74.000045,40.728527,C23672,D61908,3,5,1,Customer,Change of plan,2014,10,0.0,26/10/2014,12:00AM-03:00AM
30934362,2014-10-26 00:53:07,-73.988402,40.737402,-73.997553,40.760613,C21806,D78317,4,4,1,Customer,Delay in arrival,2014,10,0.0,26/10/2014,12:00AM-03:00AM
22266182,2014-10-26 03:26:05,-73.995935,40.746707,-73.976358,40.725512,C49317,D30656,4,4,1,Customer,Delay in arrival,2014,10,Pubs,26/10/2014,12:00AM-03:00AM
29585626,2014-10-26 14:29:32,-73.955115,40.77309,-73.96616,40.757898,C29162,D36024,2,5,1,Customer,Change of plan,2014,10,Tourist_Spots,26/10/2014,12:00PM-03:00PM
51489289,2014-10-26 16:12:00,-73.983047,40.738927,-73.950243,40.783887,C51793,D38776,4,2,1,Driver,Delay due to traffic,2014,10,Sports_Arenas,26/10/2014,03:00PM-06:00PM
39897259,2014-10-26 18:15:09,-74.006439,40.739233,-73.949828,40.722285,C51027,D14326,4,3,1,Driver,Issue with vehicle,2014,10,Pubs,26/10/2014,06:00PM-09:00PM
40195469,2014-10-27 02:16:26,0.0,0.0,0.0,0.0,C37492,D56919,2,3,1,Customer,High trip charges,2014,10,Pubs,27/10/2014,12:00AM-03:00AM
11943953,2014-10-27 12:33:27,-73.977901,40.752524,-73.974911,40.761477,C22584,D98272,4,5,1,Driver,Issue with vehicle,2014,10,Sports_Arenas,27/10/2014,12:00PM-03:00PM
39421182,2014-10-27 15:06:00,-73.97691,40.759997,-73.976917,40.759985,C25768,D63647,3,5,1,Customer,Inappropriate behavior of driver,2014,10,Sports_Arenas,27/10/2014,03:00PM-06:00PM
38015796,2014-10-27 21:46:00,-73.990805,40.727527,-73.980945,40.74459,C26274,D12789,3,3,1,Driver,Delay due to traffic,2014,10,Industrial_Zones,27/10/2014,06:00PM-09:00PM
15099724,2014-10-27 23:34:22,-73.97454,40.750574,-73.984811,40.748349,C21351,D79708,4,3,1,Customer,Change of plan,2014,10,Tourist_Spots,27/10/2014,12:00AM-3:00AM
17499625,2014-10-28 09:25:17,-73.968072,40.800781,-73.957012,40.783479,C25768,D14326,4,5,1,Customer,High trip charges,2014,10,SubwayStations,28/10/2014,09:00AM-12:00PM
33432715,2014-10-28 15:03:25,-74.010209,40.712459,-74.004859,40.751942,C13584,D43171,3,2,1,Customer,Delay in arrival,2014,10,SubwayStations,28/10/2014,03:00PM-06:00PM
40682382,2014-10-28 18:01:23,-73.97299,40.755664,-73.990955,40.757611,C29244,D48465,4,1,1,Driver,Issue with vehicle,2014,10,Pubs,28/10/2014,06:00PM-09:00PM
13134359,2014-10-28 19:17:00,-73.992973,40.734017,-73.98765,40.716177,C19983,D63151,1,4,1,Customer,Change of plan,2014,10,Sports_Arenas,28/10/2014,06:00PM-09:00PM
15876298,2014-10-28 23:43:00,-73.985045,40.742087,-73.945692,40.783902,C31645,D12502,4,4,1,Driver,Customer not found on location,2014,10,SubwayStations,28/10/2014,12:00AM-3:00AM
9573009,2014-10-29 02:42:00,-74.00677,40.74373,-73.974372,40.736877,C44617,D56919,5,5,1,Driver,Delay due to traffic,2014,10,Airport,29/10/2014,12:00AM-03:00AM
30549814,2014-10-29 11:36:00,-73.992795,40.72824,-73.97941,40.753082,C23772,D79566,5,5,1,Driver,Issue with vehicle,2014,10,Industrial_Zones,29/10/2014,09:00AM-12:00PM
33719129,2014-10-29 17:20:00,-73.96962,40.763152,-73.957778,40.765487,C14890,D54605,4,2,1,Driver,Issue with vehicle,2014,10,Tourist_Spots,29/10/2014,03:00PM-06:00PM
34937851,2014-10-29 19:22:30,-74.006099,40.750108,-74.007857,40.732269,C46201,D76086,4,4,1,Driver,Delay due to traffic,2014,10,Airport,29/10/2014,06:00PM-09:00PM
53579295,2014-10-30 06:01:57,-73.990644,40.756003,-73.987122,40.740479,C50462,D78317,2,5,1,Driver,Issue with vehicle,2014,10,Airport,30/10/2014,03:00AM-06:00AM
48965208,2014-10-30 09:19:42,-73.981573,40.763593,-73.981573,40.763593,C41429,D36024,4,4,1,Customer,High trip charges,2014,10,SubwayStations,30/10/2014,09:00AM-12:00PM
49087975,2014-10-30 12:12:00,-73.97803,40.75258,-73.96568,40.75434,C27365,D50362,2,1,1,Driver,Issue with vehicle,2014,10,Tourist_Spots,30/10/2014,12:00PM-03:00PM
10310154,2014-10-30 21:57:00,-73.97799,40.76487,-73.98823,40.7321,C39914,D76086,3,4,1,Customer,High trip charges,2014,10,Airport,30/10/2014,06:00PM-09:00PM
21867906,2014-10-30 23:18:38,-73.947466,40.808688,-73.947466,40.808688,C12608,D79708,3,5,1,Driver,Delay due to traffic,2014,10,Pubs,30/10/2014,12:00AM-3:00AM
54061218,2014-10-31 01:45:42,-74.002702,40.744262,-73.988779,40.756173,C44285,D22724,1,5,1,Driver,Customer not found on location,2014,10,Airport,31/10/2014,12:00AM-03:00AM
20654535,2014-10-31 12:18:00,-73.953937,40.778855,-73.979872,40.786332,C20659,D13828,4,3,1,Customer,Change of plan,2014,10,Tourist_Spots,31/10/2014,12:00PM-03:00PM
22669687,2014-10-31 18:00:00,-73.96874,40.752662,-73.96573,40.762617,C17953,D54605,4,4,1,Driver,Customer not found on location,2014,10,Pubs,31/10/2014,06:00PM-09:00PM
26018781,2014-10-31 21:23:00,-73.9946,40.71872,-73.94179,40.7978,C28260,D61908,4,4,1,Customer,Delay in arrival,2014,10,Pubs,31/10/2014,06:00PM-09:00PM
22158106,2014-10-31 22:30:50,-73.986646,40.719603,-73.971259,40.69496,C38493,D98272,2,4,1,Customer,Delay in arrival,2014,10,Pubs,31/10/2014,12:00AM-3:00AM
48900724,2014-10-31 22:47:00,-73.98769,40.72858,-73.98995,40.729447,C16964,D14326,3,4,1,Driver,Issue with vehicle,2014,10,Airport,31/10/2014,12:00AM-3:00AM
50711692,2014-11-01 04:33:58,-73.971801,40.794488,-73.947761,40.823601,C22483,D44453,5,2,1,Customer,Change of plan,2014,11,Pubs,1/11/2014,03:00AM-06:00AM
10548047,2014-11-01 11:03:44,-73.992823,40.742353,-73.967042,40.803706,C43455,D44453,5,4,1,Customer,Inappropriate behavior of driver,2014,11,Sports_Arenas,1/11/2014,09:00AM-12:00PM
34121359,2014-11-01 12:10:47,-73.966031,40.770404,-73.985461,40.731807,C31247,D53927,4,5,1,Customer,Inappropriate behavior of driver,2014,11,Pubs,1/11/2014,12:00PM-03:00PM
23644542,2014-11-01 14:12:00,-73.971728,40.794532,-73.958482,40.815127,C15278,D98272,4,5,1,Driver,Inappropriate behavior of customer,2014,11,Industrial_Zones,1/11/2014,12:00PM-03:00PM
5584387,2014-11-01 15:24:00,-73.98895,40.752947,-73.983632,40.72177,C22251,D36024,3,4,1,Driver,Issue with vehicle,2014,11,Pubs,1/11/2014,03:00PM-06:00PM
45689299,2014-11-01 19:51:20,-73.982969,40.766703,-73.980601,40.742339,C22177,D76086,4,2,1,Customer,High trip charges,2014,11,Sports_Arenas,1/11/2014,06:00PM-09:00PM
19458048,2014-11-01 23:12:36,-73.981328,40.7634,-73.979804,40.717952,C23908,D63219,5,4,1,Driver,Customer not found on location,2014,11,Sports_Arenas,1/11/2014,12:00AM-3:00AM
47738272,2014-11-02 00:51:00,-73.986792,40.750527,-73.989547,40.761062,C24982,D63151,4,2,1,Driver,Delay due to traffic,2014,11,0.0,2/11/2014,12:00AM-03:00AM
20258597,2014-11-02 12:54:19,-73.990223,40.750289,-73.98199,40.732313,C15278,D30700,5,4,1,Driver,Delay due to traffic,2014,11,Tourist_Spots,2/11/2014,12:00PM-03:00PM
38371675,2014-11-02 14:14:01,-73.872931,40.774142,-73.937276,40.804536,C40149,D26336,4,5,1,Driver,Delay due to traffic,2014,11,Industrial_Zones,2/11/2014,12:00PM-03:00PM
29968163,2014-11-02 19:14:00,-74.012507,40.703945,-73.997657,40.740257,C23970,D79566,5,5,1,Driver,Issue with vehicle,2014,11,Pubs,2/11/2014,06:00PM-09:00PM
22818959,2014-11-02 22:21:11,-73.989893,40.73412,-73.980074,40.732439,C44412,D38776,4,4,1,Driver,Delay due to traffic,2014,11,Airport,2/11/2014,12:00AM-3:00AM
13863629,2014-11-03 04:07:06,-73.990437,40.747663,-73.77657,40.644968,C25806,D63219,5,4,1,Driver,Delay due to traffic,2014,11,SubwayStations,3/11/2014,03:00AM-06:00AM
18215239,2014-11-03 07:55:00,-73.873185,40.774137,-73.977557,40.751855,C44617,D30700,4,3,1,Driver,Inappropriate behavior of customer,2014,11,Pubs,3/11/2014,06:00AM-09:00AM
7948643,2014-11-03 20:11:00,-73.994043,40.751132,-73.975243,40.765232,C17953,D49646,3,2,1,Customer,High trip charges,2014,11,Airport,3/11/2014,06:00PM-09:00PM
12587742,2014-11-03 21:19:00,-74.004023,40.74205,-73.9903,40.746305,C22069,D30700,4,5,1,Driver,Delay due to traffic,2014,11,Tourist_Spots,3/11/2014,06:00PM-09:00PM
52514891,2014-11-04 00:18:00,-73.98823,40.732302,-73.99294,40.756212,C52493,D65865,5,4,1,Driver,Customer not found on location,2014,11,0.0,4/11/2014,12:00AM-03:00AM
4027769,2014-11-04 07:10:00,-73.955687,40.771927,-73.965747,40.765487,C23868,D22175,2,5,1,Driver,Inappropriate behavior of customer,2014,11,Airport,4/11/2014,06:00AM-09:00AM
8782821,2014-11-04 12:21:11,-73.957428,40.782755,-73.963969,40.773882,C22846,D79566,1,5,1,Customer,High trip charges,2014,11,Sports_Arenas,4/11/2014,12:00PM-03:00PM
38695059,2014-11-04 12:23:07,-74.003871,40.742874,-74.00055,40.72634,C11938,D78317,3,2,1,Driver,Inappropriate behavior of customer,2014,11,Tourist_Spots,4/11/2014,12:00PM-03:00PM
33821522,2014-11-04 13:50:04,-73.986315,40.740265,-73.951535,40.78791,C26715,D78317,5,1,1,Customer,Delay in arrival,2014,11,Sports_Arenas,4/11/2014,12:00PM-03:00PM
3198201,2014-11-04 15:09:00,-73.985585,40.757442,-73.990957,40.750412,C50648,D12789,4,5,1,Customer,Delay in arrival,2014,11,Tourist_Spots,4/11/2014,03:00PM-06:00PM
17855548,2014-11-04 19:58:00,-73.980087,40.765727,-73.990133,40.760678,C39251,D10560,5,5,1,Driver,Delay due to traffic,2014,11,Airport,4/11/2014,06:00PM-09:00PM
27293537,2014-11-04 20:07:00,-73.9812,40.78128,-73.96624,40.80076,C20841,D48465,4,4,1,Driver,Customer not found on location,2014,11,Sports_Arenas,4/11/2014,06:00PM-09:00PM
16322366,2014-11-04 20:46:06,-73.988955,40.729119,-73.977037,40.71435,C17841,D14244,5,4,1,Driver,Inappropriate behavior of customer,2014,11,Pubs,4/11/2014,06:00PM-09:00PM
52178573,2014-11-05 17:32:19,-73.960846,40.775637,-73.969199,40.76835,C49850,D69622,2,4,1,Driver,Delay due to traffic,2014,11,Tourist_Spots,5/11/2014,03:00PM-06:00PM
27428427,2014-11-05 17:57:00,-74.010002,40.721277,-73.990967,40.727887,C15722,D65865,5,2,1,Driver,Customer not found on location,2014,11,SubwayStations,5/11/2014,03:00PM-06:00PM
50009846,2014-11-05 18:19:00,-73.97695,40.752517,-73.994862,40.759295,C38438,D13828,3,3,1,Driver,Inappropriate behavior of customer,2014,11,Pubs,5/11/2014,06:00PM-09:00PM
26069747,2014-11-05 20:44:23,-73.987503,40.7604,-73.929631,40.864087,C25508,D98272,5,5,1,Customer,High trip charges,2014,11,Airport,5/11/2014,06:00PM-09:00PM
38948521,2014-11-06 00:47:00,-74.008432,40.716632,-73.966702,40.674372,C20492,D26625,2,4,1,Driver,Delay due to traffic,2014,11,0.0,6/11/2014,12:00AM-03:00AM
